,,,,,,,,,,,,,Yr. to Yr.,
,,,,,,,,,,,,,Percent,
,,,,,,,,,,Yr. to Yr.,,Change ,
(Dollars in millions),,,,,,Percent,,Adjusted For ,
For the nine months ended September 30:,,2013,,2012,,Change,,Currency,
Systems   and Technology external revenue:,,$,"10,111",,$,"11,903",,,(15.1),%,(14.3),%
,System   z,,,,,,,,,8.0,%,8.8,%
,Power   Systems ,,,,,,,,,(31.3),,(30.7),
,System   x,,,,,,,,,(12.6),,(11.8),
,Storage,,,,,,,,,(9.6),,(8.5),
,,Total   Systems excluding RSS,,,,,,,,,(13.6),,(12.8),
,Microelectronics   OEM,,,,,,,,,(2.8),,(2.7),
,,Total   Systems and Technology excluding RSS,,,,,,,,(12.5),,(11.7),
,Retail   Store Solutions (Divested) ,,,,,,,,,(99.2),,(99.2),
