Expense
,,,,,,,,,,
Total   Expense and Other Income
,,,,,,,,,Yr. to Yr.,
(Dollars in millions),,,,,,,,Percent,
Forthethree monthsendedSeptember   30:,,2013,,2012,,Change,
Total   consolidated expense and other (income),,$,"6,567",,$,"6,657",,(1.4),%
Non-operating   adjustments:,,,,,,,,,
,Amortization   of acquired intangible assets,,,(100),,,(83),,19.9,
,Acquisition-related   charges,,,(12),,,(9),,27.7,
,Non-operating   retirement-related (costs)/income,,,(103),,,(191),,(45.9),
Total   operating (non-GAAP) expense and other (income),,$,"6,352",,$,"6,374",,(0.3),%
Total   consolidated expense-to-revenue ratio,,,27.7,%,,26.9,%,0.8,pts.
Operating   (non-GAAP) expense-to-revenue ratio,,,26.8,%,,25.8,%,1.0,pts.
,,,,,,,,,,
,,,,,,,,,Yr. to Yr.,
(Dollars in millions),,,,,,,,Percent,
Forthenine monthsendedSeptember   30:,,2013,,2012,,Change,
Total   consolidated expense and other (income),,$,"21,627",,$,"21,060",,2.7,%
Non-operating   adjustments:,,,,,,,,,
,Amortization   of acquired intangible assets,,,(277),,,(241),,14.7,
,Acquisition-related   charges,,,(25),,,(23),,5.5,
,Non-operating   retirement-related (costs)/income,,,(329),,,(251),,31.2,
Total   operating (non-GAAP) expense and other (income),,$,"20,997",,$,"20,545",,2.2,%
Total   consolidated expense-to-revenue ratio,,,30.0,%,,28.0,%,2.0,pts.
Operating   (non-GAAP) expense-to-revenue ratio,,,29.1,%,,27.3,%,1.8,pts.
,,,,,,,,,,,,,,,,,,
