Cost/(Income)   of Pension Plans,
,,,,,,,,,,,,,,
(Dollars in millions),,U.S. Plans,,Non-U.S. Plans,
For the three months ended September 30:,,2013,,2012,,2013,,2012,
Service   cost,,$,—,,$,—,,$,124,,$,109,
Interest   cost,,,495,,,549,,,379,,,439,
Expected   return on plan assets,,,(995),,,"(1,011)",,,(546),,,(570),
Amortization   of prior service costs/(credits),,,2,,,2,,,(29),,,(39),
Recognized   actuarial losses,,,448,,,333,,,397,,,255,
Curtailments   and settlements,,,—,,,—,,,0,,,0,
Multi-employer   plans/other costs,,,—,,,—,,,16,,,188,*
Total   net periodic pension (income)/cost of defined ,,,,,,,,,,,,,
,benefit   plans,,,(50),,,(127),,,341,,,381,
Cost   of defined contribution plans,,,204,,,209,,,137,,,148,
Total   defined benefit and contribution plans cost recognized,,,,,,,,,,,,,
,in   the Consolidated Statement of Earnings,,$,154,,$,82,,$,478,,$,530,
,,,,,,,,,,,,,,
