,,,,,,,,,
,,"At September 30, 2013"
(Dollarsinmillions),,Gross Carrying,,Accumulated,,Net Carrying
Intangible asset class,,Amount,,Amortization,,Amount
Capitalized   software,,$,"1,518",,$,(688),,$,829
Client   relationships,,,"2,348",,,"(1,137)",,,"1,211"
Completed   technology,,,"2,886",,,"(1,153)",,,"1,734"
In-process   R&D,,,17,,,—,,,17
Patents/trademarks,,,365,,,(156),,,209
Other(a),,,7,,,(5),,,2
Total,,$,"7,141",,$,"(3,139)",,$,"4,003"
,,,,,,,,,
,,"At December 31, 2012"
(Dollarsinmillions),,Gross Carrying,,Accumulated,,Net Carrying
Intangible asset class,,Amount,,Amortization,,Amount
Capitalized   software,,$,"1,527",,$,(665),,$,861
Client   relationships,,,"2,103",,,(961),,,"1,142"
Completed   technology,,,"2,709",,,"(1,112)",,,"1,597"
In-process   R&D,,,28,,,—,,,28
Patents/trademarks,,,281,,,(127),,,154
Other(a),,,31,,,(27),,,3
Total,,$,"6,679",,$,"(2,892)",,$,"3,787"
,,,,,,,,,
